800;0,5;400;17,8;12,6
1600;0,24;384;19,6;13,7
800;0,28;224;15,9;15,1
1600;0,411;657,6;10,5;15,2
400;0,751;300,4;17,1;15
1000;0,537;537;16,4;16,5
400;0,5;200;14,4;15,5
3200;0,171;547,2;15,9;14,3
800;0,37;296;20,7;15,6
1600;0,105;168;15,9;15,6
800;0,45;360;11,2;16,1
400;7,41;2964;17,6;14,8
1600;0,35;560;12,9;15
1600;0,5;800;17,6;16,6
400;0,496;198,4;16,5;13,7
800;0,3;240;17,8;15,3
1000;1,3;1300;10,4;15,1
500;0,59;295;16,2;15,1
800;0,3;240;15,1;15,6
800;0,45;360;14;13,9
400;0,585;234;20,8;16,3
800;0,38;304;14,2;14,5
1000;0,45;450;16,8;14,4
800;0,4;320;13,4;14,1
800;0,353;282,4;13;14,1
800;0,265;212;17,7;14,3
800;0,35;280;17,5;14,7
1200;0,27;324;13,8;15,1
800;0,2;160;17,8;15,7
800;0,368;294,4;13;15,8
800;0,4;320;14,7;15,8
800;1,48;1184;14,7;12,3
800;0,4;320;18,6;15,2
400;1,143;457,2;11,5;15,4
800;0,48;384;19,8;16,6
800;0,379;303,2;19,1;15,2
800;0,335;268;17;13,9
600;0,56;336;13,4;13,3
1200;0,8;960;15,6;14,7
800;0,206;164,8;16,8;15,9
1600;0,4;640;17,8;16,6
1000;0,3;300;20,1;14,1
400;0,65;260;14,6;16,2
800;0,5;400;12,2;16,9
1600;0,8;1280;13,3;17
1600;0,4;640;13,8;15,7
800;1;800;14,1;18,2
800;2;1600;10,6;14,5
